date,City,Year,Population,Month
2004-02-01,Baton Rouge,2004,228501.95833333334,2
2004-03-01,Baton Rouge,2004,228515.91666666666,3
2004-04-01,Baton Rouge,2004,228529.875,4
2004-05-01,Baton Rouge,2004,228543.83333333334,5
2004-06-01,Baton Rouge,2004,228557.79166666666,6
2004-07-01,Baton Rouge,2004,228571.75,7
2004-08-01,Baton Rouge,2004,228585.70833333334,8
2004-09-01,Baton Rouge,2004,228599.66666666666,9
2004-10-01,Baton Rouge,2004,228613.625,10
2004-11-01,Baton Rouge,2004,228627.58333333334,11
2004-12-01,Baton Rouge,2004,228641.54166666666,12
2005-01-01,Baton Rouge,2005,228655.5,1
2005-02-01,Baton Rouge,2005,228669.45833333334,2
2005-03-01,Baton Rouge,2005,228683.41666666666,3
2005-04-01,Baton Rouge,2005,228697.375,4
2005-05-01,Baton Rouge,2005,228711.33333333334,5
2005-06-01,Baton Rouge,2005,228725.29166666666,6
2005-07-01,Baton Rouge,2005,228739.25,7
2005-08-01,Baton Rouge,2005,228753.20833333334,8
2005-09-01,Baton Rouge,2005,228767.16666666666,9
2005-10-01,Baton Rouge,2005,228781.125,10
2005-11-01,Baton Rouge,2005,228795.08333333334,11
2005-12-01,Baton Rouge,2005,228809.04166666666,12
2006-01-01,Baton Rouge,2006,228823.0,1
2006-02-01,Baton Rouge,2006,228836.95833333334,2
2006-03-01,Baton Rouge,2006,228850.91666666666,3
2006-04-01,Baton Rouge,2006,228864.875,4
2006-05-01,Baton Rouge,2006,228878.83333333334,5
2006-06-01,Baton Rouge,2006,228892.79166666666,6
2006-07-01,Baton Rouge,2006,228906.75,7
2006-08-01,Baton Rouge,2006,228920.70833333334,8
2006-09-01,Baton Rouge,2006,228934.66666666666,9
2006-10-01,Baton Rouge,2006,228948.625,10
2006-11-01,Baton Rouge,2006,228962.58333333334,11
2006-12-01,Baton Rouge,2006,228976.54166666666,12
2007-01-01,Baton Rouge,2007,228990.5,1
2007-02-01,Baton Rouge,2007,229004.45833333334,2
2007-03-01,Baton Rouge,2007,229018.41666666666,3
2007-04-01,Baton Rouge,2007,229032.375,4
2007-05-01,Baton Rouge,2007,229046.33333333334,5
2007-06-01,Baton Rouge,2007,229060.29166666666,6
2007-07-01,Baton Rouge,2007,229074.25,7
2007-08-01,Baton Rouge,2007,229088.20833333334,8
2007-09-01,Baton Rouge,2007,229102.16666666666,9
2007-10-01,Baton Rouge,2007,229116.125,10
2007-11-01,Baton Rouge,2007,229130.08333333334,11
2007-12-01,Baton Rouge,2007,229144.04166666666,12
2008-01-01,Baton Rouge,2008,229158.0,1
2008-02-01,Baton Rouge,2008,229171.95833333334,2
2008-03-01,Baton Rouge,2008,229185.91666666666,3
2008-04-01,Baton Rouge,2008,229199.875,4
2008-05-01,Baton Rouge,2008,229213.83333333334,5
2008-06-01,Baton Rouge,2008,229227.79166666666,6
2008-07-01,Baton Rouge,2008,229241.75,7
2008-08-01,Baton Rouge,2008,229255.70833333334,8
2008-09-01,Baton Rouge,2008,229269.66666666666,9
2008-10-01,Baton Rouge,2008,229283.625,10
2008-11-01,Baton Rouge,2008,229297.58333333334,11
2008-12-01,Baton Rouge,2008,229311.54166666666,12
2009-01-01,Baton Rouge,2009,229325.5,1
2009-02-01,Baton Rouge,2009,229339.45833333334,2
2009-03-01,Baton Rouge,2009,229353.41666666666,3
2009-04-01,Baton Rouge,2009,229367.375,4
2009-05-01,Baton Rouge,2009,229381.33333333334,5
2009-06-01,Baton Rouge,2009,229395.29166666666,6
2009-07-01,Baton Rouge,2009,229409.25,7
2009-08-01,Baton Rouge,2009,229423.20833333334,8
2009-09-01,Baton Rouge,2009,229437.16666666666,9
2009-10-01,Baton Rouge,2009,229451.125,10
2009-11-01,Baton Rouge,2009,229465.08333333334,11
2009-12-01,Baton Rouge,2009,229479.04166666666,12
2010-01-01,Baton Rouge,2010,229493.0,1
2010-02-01,Baton Rouge,2010,229476.14166666666,2
2010-03-01,Baton Rouge,2010,229459.28333333333,3
2010-04-01,Baton Rouge,2010,229442.425,4
2010-05-01,Baton Rouge,2010,229425.56666666668,5
2010-06-01,Baton Rouge,2010,229408.70833333334,6
2010-07-01,Baton Rouge,2010,229391.85,7
2010-08-01,Baton Rouge,2010,229374.99166666667,8
2010-09-01,Baton Rouge,2010,229358.13333333333,9
2010-10-01,Baton Rouge,2010,229341.275,10
2010-11-01,Baton Rouge,2010,229324.41666666666,11
2010-12-01,Baton Rouge,2010,229307.55833333332,12
2000-01-01,Charlottetown,2000,32302.2,1
2000-02-01,Charlottetown,2000,32297.433333333334,2
2000-03-01,Charlottetown,2000,32292.666666666668,3
2000-04-01,Charlottetown,2000,32287.9,4
2000-05-01,Charlottetown,2000,32283.133333333335,5
2000-06-01,Charlottetown,2000,32278.366666666665,6
2000-07-01,Charlottetown,2000,32273.6,7
2000-08-01,Charlottetown,2000,32268.833333333332,8
2000-09-01,Charlottetown,2000,32264.066666666666,9
2000-10-01,Charlottetown,2000,32259.3,10
2000-11-01,Charlottetown,2000,32254.533333333333,11
2000-12-01,Charlottetown,2000,32249.766666666666,12
2001-01-01,Charlottetown,2001,32245.0,1
2001-02-01,Charlottetown,2001,32243.816666666666,2
2001-03-01,Charlottetown,2001,32242.633333333335,3
2001-04-01,Charlottetown,2001,32241.45,4
2001-05-01,Charlottetown,2001,32240.266666666666,5
2001-06-01,Charlottetown,2001,32239.083333333332,6
2001-07-01,Charlottetown,2001,32237.9,7
2001-08-01,Charlottetown,2001,32236.716666666667,8
2001-09-01,Charlottetown,2001,32235.533333333333,9
2001-10-01,Charlottetown,2001,32234.35,10
2001-11-01,Charlottetown,2001,32233.166666666668,11
2001-12-01,Charlottetown,2001,32231.983333333334,12
2002-01-01,Charlottetown,2002,32230.8,1
2002-02-01,Charlottetown,2002,32229.616666666665,2
2002-03-01,Charlottetown,2002,32228.433333333334,3
2002-04-01,Charlottetown,2002,32227.25,4
2002-05-01,Charlottetown,2002,32226.066666666666,5
2002-06-01,Charlottetown,2002,32224.883333333335,6
2002-07-01,Charlottetown,2002,32223.7,7
2002-08-01,Charlottetown,2002,32222.516666666666,8
2002-09-01,Charlottetown,2002,32221.333333333332,9
2002-10-01,Charlottetown,2002,32220.15,10
2002-11-01,Charlottetown,2002,32218.966666666667,11
2002-12-01,Charlottetown,2002,32217.783333333333,12
2003-01-01,Charlottetown,2003,32216.6,1
2003-02-01,Charlottetown,2003,32215.416666666668,2
2003-03-01,Charlottetown,2003,32214.233333333334,3
2003-04-01,Charlottetown,2003,32213.05,4
2003-05-01,Charlottetown,2003,32211.866666666665,5
2003-06-01,Charlottetown,2003,32210.683333333334,6
2003-07-01,Charlottetown,2003,32209.5,7
2003-08-01,Charlottetown,2003,32208.316666666666,8
2003-09-01,Charlottetown,2003,32207.133333333335,9
2003-10-01,Charlottetown,2003,32205.95,10
2003-11-01,Charlottetown,2003,32204.766666666666,11
2003-12-01,Charlottetown,2003,32203.583333333332,12
2004-01-01,Charlottetown,2004,32202.4,1
2004-02-01,Charlottetown,2004,32201.216666666667,2
2004-03-01,Charlottetown,2004,32200.033333333333,3
2004-04-01,Charlottetown,2004,32198.85,4
2004-05-01,Charlottetown,2004,32197.666666666668,5
2004-06-01,Charlottetown,2004,32196.483333333334,6
2004-07-01,Charlottetown,2004,32195.3,7
2004-08-01,Charlottetown,2004,32194.116666666665,8
2004-09-01,Charlottetown,2004,32192.933333333334,9
2004-10-01,Charlottetown,2004,32191.75,10
2004-11-01,Charlottetown,2004,32190.566666666666,11
2004-12-01,Charlottetown,2004,32189.383333333335,12
2005-01-01,Charlottetown,2005,32188.2,1
2005-02-01,Charlottetown,2005,32187.016666666666,2
2005-03-01,Charlottetown,2005,32185.833333333332,3
2005-04-01,Charlottetown,2005,32184.65,4
2005-05-01,Charlottetown,2005,32183.466666666667,5
2005-06-01,Charlottetown,2005,32182.283333333333,6
2005-07-01,Charlottetown,2005,32181.1,7
2005-08-01,Charlottetown,2005,32179.916666666668,8
2005-09-01,Charlottetown,2005,32178.733333333334,9
2005-10-01,Charlottetown,2005,32177.55,10
2005-11-01,Charlottetown,2005,32176.366666666665,11
2005-12-01,Charlottetown,2005,32175.183333333334,12
2006-01-01,Charlottetown,2006,32174.0,1
2006-02-01,Charlottetown,2006,32213.8,2
2006-03-01,Charlottetown,2006,32253.6,3
2006-04-01,Charlottetown,2006,32293.4,4
2006-05-01,Charlottetown,2006,32333.2,5
2006-06-01,Charlottetown,2006,32373.0,6
2006-07-01,Charlottetown,2006,32412.8,7
2006-08-01,Charlottetown,2006,32452.6,8
2006-09-01,Charlottetown,2006,32492.4,9
2006-10-01,Charlottetown,2006,32532.2,10
2006-11-01,Charlottetown,2006,32572.0,11
2006-12-01,Charlottetown,2006,32611.8,12
2007-01-01,Charlottetown,2007,32651.6,1
2007-02-01,Charlottetown,2007,32691.4,2
2007-03-01,Charlottetown,2007,32731.2,3
2007-04-01,Charlottetown,2007,32771.0,4
2007-05-01,Charlottetown,2007,32810.8,5
2007-06-01,Charlottetown,2007,32850.6,6
2007-07-01,Charlottetown,2007,32890.4,7
2007-08-01,Charlottetown,2007,32930.2,8
2007-09-01,Charlottetown,2007,32970.0,9
2007-10-01,Charlottetown,2007,33009.8,10
2007-11-01,Charlottetown,2007,33049.6,11
2007-12-01,Charlottetown,2007,33089.4,12
2008-01-01,Charlottetown,2008,33129.2,1
2008-02-01,Charlottetown,2008,33169.0,2
2008-03-01,Charlottetown,2008,33208.8,3
2008-04-01,Charlottetown,2008,33248.6,4
2008-05-01,Charlottetown,2008,33288.4,5
2008-06-01,Charlottetown,2008,33328.2,6
2008-07-01,Charlottetown,2008,33368.0,7
2008-08-01,Charlottetown,2008,33407.8,8
2008-09-01,Charlottetown,2008,33447.6,9
2008-10-01,Charlottetown,2008,33487.4,10
2008-11-01,Charlottetown,2008,33527.2,11
2008-12-01,Charlottetown,2008,33567.0,12
2009-01-01,Charlottetown,2009,33606.8,1
2009-02-01,Charlottetown,2009,33646.6,2
2009-03-01,Charlottetown,2009,33686.4,3
2009-04-01,Charlottetown,2009,33726.2,4
2009-05-01,Charlottetown,2009,33766.0,5
2009-06-01,Charlottetown,2009,33805.8,6
2009-07-01,Charlottetown,2009,33845.6,7
2009-08-01,Charlottetown,2009,33885.4,8
2009-09-01,Charlottetown,2009,33925.2,9
2009-10-01,Charlottetown,2009,33965.0,10
2009-11-01,Charlottetown,2009,34004.8,11
2009-12-01,Charlottetown,2009,34044.6,12
2010-01-01,Charlottetown,2010,34084.4,1
2010-02-01,Charlottetown,2010,34124.2,2
2010-03-01,Charlottetown,2010,34164.0,3
2010-04-01,Charlottetown,2010,34203.8,4
2010-05-01,Charlottetown,2010,34243.6,5
2010-06-01,Charlottetown,2010,34283.4,6
2010-07-01,Charlottetown,2010,34323.2,7
2010-08-01,Charlottetown,2010,34363.0,8
2010-09-01,Charlottetown,2010,34402.8,9
2010-10-01,Charlottetown,2010,34442.6,10
2010-11-01,Charlottetown,2010,34482.4,11
2010-12-01,Charlottetown,2010,34522.2,12
2000-01-01,Edmonton,2000,656144.4,1
2000-02-01,Edmonton,2000,656974.3666666667,2
2000-03-01,Edmonton,2000,657804.3333333334,3
2000-04-01,Edmonton,2000,658634.3,4
2000-05-01,Edmonton,2000,659464.2666666667,5
2000-06-01,Edmonton,2000,660294.2333333334,6
2000-07-01,Edmonton,2000,661124.2,7
2000-08-01,Edmonton,2000,661954.1666666666,8
2000-09-01,Edmonton,2000,662784.1333333333,9
2000-10-01,Edmonton,2000,663614.1,10
2000-11-01,Edmonton,2000,664444.0666666667,11
2000-12-01,Edmonton,2000,665274.0333333333,12
2001-01-01,Edmonton,2001,666104.0,1
2001-02-01,Edmonton,2001,667175.1333333333,2
2001-03-01,Edmonton,2001,668246.2666666667,3
2001-04-01,Edmonton,2001,669317.4,4
2001-05-01,Edmonton,2001,670388.5333333333,5
2001-06-01,Edmonton,2001,671459.6666666666,6
2001-07-01,Edmonton,2001,672530.8,7
2001-08-01,Edmonton,2001,673601.9333333333,8
2001-09-01,Edmonton,2001,674673.0666666667,9
2001-10-01,Edmonton,2001,675744.2,10
2001-11-01,Edmonton,2001,676815.3333333334,11
2001-12-01,Edmonton,2001,677886.4666666667,12
2002-01-01,Edmonton,2002,678957.6,1
2002-02-01,Edmonton,2002,680028.7333333333,2
2002-03-01,Edmonton,2002,681099.8666666667,3
2002-04-01,Edmonton,2002,682171.0,4
2002-05-01,Edmonton,2002,683242.1333333333,5
2002-06-01,Edmonton,2002,684313.2666666667,6
2002-07-01,Edmonton,2002,685384.4,7
2002-08-01,Edmonton,2002,686455.5333333333,8
2002-09-01,Edmonton,2002,687526.6666666666,9
2002-10-01,Edmonton,2002,688597.8,10
2002-11-01,Edmonton,2002,689668.9333333333,11
2002-12-01,Edmonton,2002,690740.0666666667,12
2003-01-01,Edmonton,2003,691811.2,1
2003-02-01,Edmonton,2003,692882.3333333334,2
2003-03-01,Edmonton,2003,693953.4666666667,3
2003-04-01,Edmonton,2003,695024.6,4
2003-05-01,Edmonton,2003,696095.7333333334,5
2003-06-01,Edmonton,2003,697166.8666666667,6
2003-07-01,Edmonton,2003,698238.0,7
2003-08-01,Edmonton,2003,699309.1333333333,8
2003-09-01,Edmonton,2003,700380.2666666667,9
2003-10-01,Edmonton,2003,701451.4,10
2003-11-01,Edmonton,2003,702522.5333333333,11
2003-12-01,Edmonton,2003,703593.6666666666,12
2004-01-01,Edmonton,2004,704664.8,1
2004-02-01,Edmonton,2004,705735.9333333333,2
2004-03-01,Edmonton,2004,706807.0666666667,3
2004-04-01,Edmonton,2004,707878.2,4
2004-05-01,Edmonton,2004,708949.3333333334,5
2004-06-01,Edmonton,2004,710020.4666666667,6
2004-07-01,Edmonton,2004,711091.6,7
2004-08-01,Edmonton,2004,712162.7333333334,8
2004-09-01,Edmonton,2004,713233.8666666667,9
2004-10-01,Edmonton,2004,714305.0,10
2004-11-01,Edmonton,2004,715376.1333333333,11
2004-12-01,Edmonton,2004,716447.2666666667,12
2005-01-01,Edmonton,2005,717518.4,1
2005-02-01,Edmonton,2005,718589.5333333333,2
2005-03-01,Edmonton,2005,719660.6666666666,3
2005-04-01,Edmonton,2005,720731.8,4
2005-05-01,Edmonton,2005,721802.9333333333,5
2005-06-01,Edmonton,2005,722874.0666666667,6
2005-07-01,Edmonton,2005,723945.2,7
2005-08-01,Edmonton,2005,725016.3333333334,8
2005-09-01,Edmonton,2005,726087.4666666667,9
2005-10-01,Edmonton,2005,727158.6,10
2005-11-01,Edmonton,2005,728229.7333333334,11
2005-12-01,Edmonton,2005,729300.8666666667,12
2006-01-01,Edmonton,2006,730372.0,1
2006-02-01,Edmonton,2006,731735.8166666667,2
2006-03-01,Edmonton,2006,733099.6333333333,3
2006-04-01,Edmonton,2006,734463.45,4
2006-05-01,Edmonton,2006,735827.2666666667,5
2006-06-01,Edmonton,2006,737191.0833333334,6
2006-07-01,Edmonton,2006,738554.9,7
2006-08-01,Edmonton,2006,739918.7166666667,8
2006-09-01,Edmonton,2006,741282.5333333333,9
2006-10-01,Edmonton,2006,742646.35,10
2006-11-01,Edmonton,2006,744010.1666666666,11
2006-12-01,Edmonton,2006,745373.9833333333,12
2007-01-01,Edmonton,2007,746737.8,1
2007-02-01,Edmonton,2007,748101.6166666667,2
2007-03-01,Edmonton,2007,749465.4333333333,3
2007-04-01,Edmonton,2007,750829.25,4
2007-05-01,Edmonton,2007,752193.0666666667,5
2007-06-01,Edmonton,2007,753556.8833333333,6
2007-07-01,Edmonton,2007,754920.7,7
2007-08-01,Edmonton,2007,756284.5166666667,8
2007-09-01,Edmonton,2007,757648.3333333334,9
2007-10-01,Edmonton,2007,759012.15,10
2007-11-01,Edmonton,2007,760375.9666666667,11
2007-12-01,Edmonton,2007,761739.7833333333,12
2008-01-01,Edmonton,2008,763103.6,1
2008-02-01,Edmonton,2008,764467.4166666666,2
2008-03-01,Edmonton,2008,765831.2333333333,3
2008-04-01,Edmonton,2008,767195.05,4
2008-05-01,Edmonton,2008,768558.8666666667,5
2008-06-01,Edmonton,2008,769922.6833333333,6
2008-07-01,Edmonton,2008,771286.5,7
2008-08-01,Edmonton,2008,772650.3166666667,8
2008-09-01,Edmonton,2008,774014.1333333333,9
2008-10-01,Edmonton,2008,775377.95,10
2008-11-01,Edmonton,2008,776741.7666666666,11
2008-12-01,Edmonton,2008,778105.5833333334,12
2009-01-01,Edmonton,2009,779469.4,1
2009-02-01,Edmonton,2009,780833.2166666667,2
2009-03-01,Edmonton,2009,782197.0333333333,3
2009-04-01,Edmonton,2009,783560.85,4
2009-05-01,Edmonton,2009,784924.6666666666,5
2009-06-01,Edmonton,2009,786288.4833333333,6
2009-07-01,Edmonton,2009,787652.3,7
2009-08-01,Edmonton,2009,789016.1166666667,8
2009-09-01,Edmonton,2009,790379.9333333333,9
2009-10-01,Edmonton,2009,791743.75,10
2009-11-01,Edmonton,2009,793107.5666666667,11
2009-12-01,Edmonton,2009,794471.3833333333,12
2010-01-01,Edmonton,2010,795835.2,1
2010-02-01,Edmonton,2010,797199.0166666666,2
2010-03-01,Edmonton,2010,798562.8333333334,3
2010-04-01,Edmonton,2010,799926.65,4
2010-05-01,Edmonton,2010,801290.4666666667,5
2010-06-01,Edmonton,2010,802654.2833333333,6
2010-07-01,Edmonton,2010,804018.1,7
2010-08-01,Edmonton,2010,805381.9166666666,8
2010-09-01,Edmonton,2010,806745.7333333334,9
2010-10-01,Edmonton,2010,808109.55,10
2010-11-01,Edmonton,2010,809473.3666666667,11
2010-12-01,Edmonton,2010,810837.1833333333,12
2000-01-01,Fredericton,2000,47365.4,1
2000-02-01,Fredericton,2000,47383.28333333333,2
2000-03-01,Fredericton,2000,47401.166666666664,3
2000-04-01,Fredericton,2000,47419.05,4
2000-05-01,Fredericton,2000,47436.933333333334,5
2000-06-01,Fredericton,2000,47454.816666666666,6
2000-07-01,Fredericton,2000,47472.7,7
2000-08-01,Fredericton,2000,47490.583333333336,8
2000-09-01,Fredericton,2000,47508.46666666667,9
2000-10-01,Fredericton,2000,47526.35,10
2000-11-01,Fredericton,2000,47544.23333333333,11
2000-12-01,Fredericton,2000,47562.11666666667,12
2001-01-01,Fredericton,2001,47580.0,1
2001-02-01,Fredericton,2001,47629.25,2
2001-03-01,Fredericton,2001,47678.5,3
2001-04-01,Fredericton,2001,47727.75,4
2001-05-01,Fredericton,2001,47777.0,5
2001-06-01,Fredericton,2001,47826.25,6
2001-07-01,Fredericton,2001,47875.5,7
2001-08-01,Fredericton,2001,47924.75,8
2001-09-01,Fredericton,2001,47974.0,9
2001-10-01,Fredericton,2001,48023.25,10
2001-11-01,Fredericton,2001,48072.5,11
2001-12-01,Fredericton,2001,48121.75,12
2002-01-01,Fredericton,2002,48171.0,1
2002-02-01,Fredericton,2002,48220.25,2
2002-03-01,Fredericton,2002,48269.5,3
2002-04-01,Fredericton,2002,48318.75,4
2002-05-01,Fredericton,2002,48368.0,5
2002-06-01,Fredericton,2002,48417.25,6
2002-07-01,Fredericton,2002,48466.5,7
2002-08-01,Fredericton,2002,48515.75,8
2002-09-01,Fredericton,2002,48565.0,9
2002-10-01,Fredericton,2002,48614.25,10
2002-11-01,Fredericton,2002,48663.5,11
2002-12-01,Fredericton,2002,48712.75,12
2003-01-01,Fredericton,2003,48762.0,1
2003-02-01,Fredericton,2003,48811.25,2
2003-03-01,Fredericton,2003,48860.5,3
2003-04-01,Fredericton,2003,48909.75,4
2003-05-01,Fredericton,2003,48959.0,5
2003-06-01,Fredericton,2003,49008.25,6
2003-07-01,Fredericton,2003,49057.5,7
2003-08-01,Fredericton,2003,49106.75,8
2003-09-01,Fredericton,2003,49156.0,9
2003-10-01,Fredericton,2003,49205.25,10
2003-11-01,Fredericton,2003,49254.5,11
2003-12-01,Fredericton,2003,49303.75,12
2004-01-01,Fredericton,2004,49353.0,1
2004-02-01,Fredericton,2004,49402.25,2
2004-03-01,Fredericton,2004,49451.5,3
2004-04-01,Fredericton,2004,49500.75,4
2004-05-01,Fredericton,2004,49550.0,5
2004-06-01,Fredericton,2004,49599.25,6
2004-07-01,Fredericton,2004,49648.5,7
2004-08-01,Fredericton,2004,49697.75,8
2004-09-01,Fredericton,2004,49747.0,9
2004-10-01,Fredericton,2004,49796.25,10
2004-11-01,Fredericton,2004,49845.5,11
2004-12-01,Fredericton,2004,49894.75,12
2005-01-01,Fredericton,2005,49944.0,1
2005-02-01,Fredericton,2005,49993.25,2
2005-03-01,Fredericton,2005,50042.5,3
2005-04-01,Fredericton,2005,50091.75,4
2005-05-01,Fredericton,2005,50141.0,5
2005-06-01,Fredericton,2005,50190.25,6
2005-07-01,Fredericton,2005,50239.5,7
2005-08-01,Fredericton,2005,50288.75,8
2005-09-01,Fredericton,2005,50338.0,9
2005-10-01,Fredericton,2005,50387.25,10
2005-11-01,Fredericton,2005,50436.5,11
2005-12-01,Fredericton,2005,50485.75,12
2006-01-01,Fredericton,2006,50535.0,1
2006-02-01,Fredericton,2006,50629.816666666666,2
2006-03-01,Fredericton,2006,50724.63333333333,3
2006-04-01,Fredericton,2006,50819.45,4
2006-05-01,Fredericton,2006,50914.26666666667,5
2006-06-01,Fredericton,2006,51009.083333333336,6
2006-07-01,Fredericton,2006,51103.9,7
2006-08-01,Fredericton,2006,51198.71666666667,8
2006-09-01,Fredericton,2006,51293.53333333333,9
2006-10-01,Fredericton,2006,51388.35,10
2006-11-01,Fredericton,2006,51483.166666666664,11
2006-12-01,Fredericton,2006,51577.98333333333,12
2007-01-01,Fredericton,2007,51672.8,1
2007-02-01,Fredericton,2007,51767.61666666667,2
2007-03-01,Fredericton,2007,51862.433333333334,3
2007-04-01,Fredericton,2007,51957.25,4
2007-05-01,Fredericton,2007,52052.066666666666,5
2007-06-01,Fredericton,2007,52146.88333333333,6
2007-07-01,Fredericton,2007,52241.7,7
2007-08-01,Fredericton,2007,52336.51666666667,8
2007-09-01,Fredericton,2007,52431.333333333336,9
2007-10-01,Fredericton,2007,52526.15,10
2007-11-01,Fredericton,2007,52620.96666666667,11
2007-12-01,Fredericton,2007,52715.78333333333,12
2008-01-01,Fredericton,2008,52810.6,1
2008-02-01,Fredericton,2008,52905.416666666664,2
2008-03-01,Fredericton,2008,53000.23333333333,3
2008-04-01,Fredericton,2008,53095.05,4
2008-05-01,Fredericton,2008,53189.86666666667,5
2008-06-01,Fredericton,2008,53284.683333333334,6
2008-07-01,Fredericton,2008,53379.5,7
2008-08-01,Fredericton,2008,53474.316666666666,8
2008-09-01,Fredericton,2008,53569.13333333333,9
2008-10-01,Fredericton,2008,53663.95,10
2008-11-01,Fredericton,2008,53758.76666666666,11
2008-12-01,Fredericton,2008,53853.583333333336,12
2009-01-01,Fredericton,2009,53948.4,1
2009-02-01,Fredericton,2009,54043.21666666667,2
2009-03-01,Fredericton,2009,54138.03333333333,3
2009-04-01,Fredericton,2009,54232.85,4
2009-05-01,Fredericton,2009,54327.666666666664,5
2009-06-01,Fredericton,2009,54422.48333333333,6
2009-07-01,Fredericton,2009,54517.3,7
2009-08-01,Fredericton,2009,54612.11666666667,8
2009-09-01,Fredericton,2009,54706.933333333334,9
2009-10-01,Fredericton,2009,54801.75,10
2009-11-01,Fredericton,2009,54896.566666666666,11
2009-12-01,Fredericton,2009,54991.38333333333,12
2010-01-01,Fredericton,2010,55086.2,1
2010-02-01,Fredericton,2010,55181.01666666666,2
2010-03-01,Fredericton,2010,55275.833333333336,3
2010-04-01,Fredericton,2010,55370.65,4
2010-05-01,Fredericton,2010,55465.46666666667,5
2010-06-01,Fredericton,2010,55560.28333333333,6
2010-07-01,Fredericton,2010,55655.1,7
2010-08-01,Fredericton,2010,55749.916666666664,8
2010-09-01,Fredericton,2010,55844.73333333334,9
2010-10-01,Fredericton,2010,55939.55,10
2010-11-01,Fredericton,2010,56034.36666666667,11
2010-12-01,Fredericton,2010,56129.183333333334,12
2000-01-01,Halifax,2000,355939.6,1
2000-02-01,Halifax,2000,356209.88333333336,2
2000-03-01,Halifax,2000,356480.1666666667,3
2000-04-01,Halifax,2000,356750.45,4
2000-05-01,Halifax,2000,357020.73333333334,5
2000-06-01,Halifax,2000,357291.01666666666,6
2000-07-01,Halifax,2000,357561.3,7
2000-08-01,Halifax,2000,357831.5833333333,8
2000-09-01,Halifax,2000,358101.8666666667,9
2000-10-01,Halifax,2000,358372.15,10
2000-11-01,Halifax,2000,358642.43333333335,11
2000-12-01,Halifax,2000,358912.7166666667,12
2001-01-01,Halifax,2001,359183.0,1
2001-02-01,Halifax,2001,359410.9166666667,2
2001-03-01,Halifax,2001,359638.8333333333,3
2001-04-01,Halifax,2001,359866.75,4
2001-05-01,Halifax,2001,360094.6666666667,5
2001-06-01,Halifax,2001,360322.5833333333,6
2001-07-01,Halifax,2001,360550.5,7
2001-08-01,Halifax,2001,360778.4166666667,8
2001-09-01,Halifax,2001,361006.3333333333,9
2001-10-01,Halifax,2001,361234.25,10
2001-11-01,Halifax,2001,361462.1666666667,11
2001-12-01,Halifax,2001,361690.0833333333,12
2002-01-01,Halifax,2002,361918.0,1
