DATE,PCRGMP10580
2001-01-01,48101
2002-01-01,47603
2003-01-01,48557
2004-01-01,49246
2005-01-01,49245
2006-01-01,49549
2007-01-01,48662
2008-01-01,48504
2009-01-01,49279
2010-01-01,49712
2011-01-01,49028
2012-01-01,49551
2013-01-01,49810
2014-01-01,50129
2015-01-01,51715
2016-01-01,52135
2017-01-01,52499
