DATE,PCRGMP39300
2001-01-01,38607
2002-01-01,39489
2003-01-01,40907
2004-01-01,41831
2005-01-01,42304
2006-01-01,43456
2007-01-01,42613
2008-01-01,42106
2009-01-01,40942
2010-01-01,41814
2011-01-01,41719
2012-01-01,42310
2013-01-01,42235
2014-01-01,42554
2015-01-01,43577
2016-01-01,43703
2017-01-01,44253
