DATE,PCRGMP26900
2001-01-01,56047
2002-01-01,54797
2003-01-01,55999
2004-01-01,58352
2005-01-01,58145
2006-01-01,59211
2007-01-01,59555
2008-01-01,59703
2009-01-01,56763
2010-01-01,58060
2011-01-01,57401
2012-01-01,56853
2013-01-01,58587
2014-01-01,58666
2015-01-01,58083
2016-01-01,59646
2017-01-01,60439
