DATE,PCRGMP40060
2001-01-01,54680
2002-01-01,53336
2003-01-01,53349
2004-01-01,51967
2005-01-01,54553
2006-01-01,53975
2007-01-01,53330
2008-01-01,52380
2009-01-01,50761
2010-01-01,51232
2011-01-01,51269
2012-01-01,52110
2013-01-01,52259
2014-01-01,52238
2015-01-01,53668
2016-01-01,53737
2017-01-01,54611
