DATE,PCRGMP42140
2001-01-01,45603
2002-01-01,51397
2003-01-01,46342
2004-01-01,45571
2005-01-01,45892
2006-01-01,48620
2007-01-01,47862
2008-01-01,51413
2009-01-01,45235
2010-01-01,45857
2011-01-01,44488
2012-01-01,43063
2013-01-01,44182
2014-01-01,41595
2015-01-01,42256
2016-01-01,41392
2017-01-01,41838
