DATE,PCRGMP16940
2001-01-01,41552
2002-01-01,43188
2003-01-01,45053
2004-01-01,47040
2005-01-01,48149
2006-01-01,52382
2007-01-01,53604
2008-01-01,58159
2009-01-01,50606
2010-01-01,50297
2011-01-01,51854
2012-01-01,50204
2013-01-01,50791
2014-01-01,49279
2015-01-01,50120
2016-01-01,49587
2017-01-01,49018
