DATE,PCRGMP31540
2001-01-01,54801
2002-01-01,56109
2003-01-01,56896
2004-01-01,58649
2005-01-01,60026
2006-01-01,60160
2007-01-01,60840
2008-01-01,59541
2009-01-01,58762
2010-01-01,59246
2011-01-01,59888
2012-01-01,59901
2013-01-01,60601
2014-01-01,60230
2015-01-01,64331
2016-01-01,66153
2017-01-01,66639
