DATE,PCRGMP30700
2001-01-01,46223
2002-01-01,46665
2003-01-01,48864
2004-01-01,47627
2005-01-01,47912
2006-01-01,48019
2007-01-01,48712
2008-01-01,47641
2009-01-01,47012
2010-01-01,48362
2011-01-01,48937
2012-01-01,50499
2013-01-01,50959
2014-01-01,51494
2015-01-01,52111
2016-01-01,52052
2017-01-01,52185
