date,province,year,megatonnes CO2,month
2012-03-01,NB,2012,4.61281448229235,3
2012-04-01,NB,2012,4.579627088666667,4
2012-05-01,NB,2012,4.547510256125683,5
2012-06-01,NB,2012,4.5143228625,6
2012-07-01,NB,2012,4.482206029959016,7
2012-08-01,NB,2012,4.449018636333333,8
2012-09-01,NB,2012,4.41583124270765,9
2012-10-01,NB,2012,4.383714410166667,10
2012-11-01,NB,2012,4.350527016540984,11
2012-12-01,NB,2012,4.318410184,12
2013-01-01,NB,2013,4.25654850319726,1
2013-02-01,NB,2013,4.19468682239452,2
2013-03-01,NB,2013,4.1388117558630135,3
2013-04-01,NB,2013,4.0769500750602745,4
2013-05-01,NB,2013,4.017083932347945,5
2013-06-01,NB,2013,3.9552222515452056,6
2013-07-01,NB,2013,3.895356108832877,7
2013-08-01,NB,2013,3.833494428030137,8
2013-09-01,NB,2013,3.7716327472273976,9
2013-10-01,NB,2013,3.7117666045150686,10
2013-11-01,NB,2013,3.649904923712329,11
2013-12-01,NB,2013,3.590038781,12
2011-01-01,NL,2011,3.525341782041096,1
2011-02-01,NL,2011,3.561175189082192,2
2011-03-01,NL,2011,3.5935408470547947,3
2011-04-01,NL,2011,3.6293742540958904,4
2011-05-01,NL,2011,3.664051744780822,5
2011-06-01,NL,2011,3.699885151821918,6
2011-07-01,NL,2011,3.7345626425068494,7
2011-08-01,NL,2011,3.770396049547945,8
2011-09-01,NL,2011,3.806229456589041,9
2011-10-01,NL,2011,3.8409069472739725,10
2011-11-01,NL,2011,3.8767403543150682,11
2011-12-01,NL,2011,3.911417845,12
2012-01-01,NL,2012,3.898374830887978,1
2012-02-01,NL,2012,3.885331816775956,2
2012-03-01,NL,2012,3.8731302874453553,3
2012-04-01,NL,2012,3.8600872733333333,4
2012-05-01,NL,2012,3.8474650016120218,5
2012-06-01,NL,2012,3.8344219875,6
2012-07-01,NL,2012,3.8217997157786883,7
2012-08-01,NL,2012,3.8087567016666664,8
2012-09-01,NL,2012,3.7957136875546444,9
2012-10-01,NL,2012,3.7830914158333333,10
2012-11-01,NL,2012,3.7700484017213114,11
2012-12-01,NL,2012,3.75742613,12
2013-01-01,NL,2013,3.7343534174712327,1
2013-02-01,NL,2013,3.7112807049424656,2
2013-03-01,NL,2013,3.6904408355616436,3
2013-04-01,NL,2013,3.6673681230328765,4
2013-05-01,NL,2013,3.6450396915534244,5
2013-06-01,NL,2013,3.6219669790246574,6
2013-07-01,NL,2013,3.5996385475452053,7
2013-08-01,NL,2013,3.576565835016438,8
2013-09-01,NL,2013,3.553493122487671,9
2013-10-01,NL,2013,3.531164691008219,10
2013-11-01,NL,2013,3.508091978479452,11
2013-12-01,NL,2013,3.485763547,12
2011-01-01,NS,2011,4.75286983940548,1
2011-02-01,NS,2011,4.788294747810959,2
2011-03-01,NS,2011,4.820291439273973,3
2011-04-01,NS,2011,4.8557163476794525,4
2011-05-01,NS,2011,4.88999851710411,5
2011-06-01,NS,2011,4.92542342550959,6
2011-07-01,NS,2011,4.959705594934247,7
2011-08-01,NS,2011,4.995130503339726,8
2011-09-01,NS,2011,5.030555411745206,9
2011-10-01,NS,2011,5.064837581169863,10
2011-11-01,NS,2011,5.100262489575343,11
2011-12-01,NS,2011,5.134544659,12
2012-01-01,NS,2012,5.120892455248634,1
2012-02-01,NS,2012,5.107240251497268,2
2012-03-01,NS,2012,5.0944688350847,3
2012-04-01,NS,2012,5.080816631333334,4
2012-05-01,NS,2012,5.067604821251367,5
2012-06-01,NS,2012,5.0539526175,6
2012-07-01,NS,2012,5.040740807418033,7
2012-08-01,NS,2012,5.027088603666667,8
2012-09-01,NS,2012,5.0134363999153,9
2012-10-01,NS,2012,5.0002245898333335,10
2012-11-01,NS,2012,4.986572386081967,11
2012-12-01,NS,2012,4.973360576,12
2013-01-01,NS,2013,4.937099349679452,1
2013-02-01,NS,2013,4.900838123358905,2
2013-03-01,NS,2013,4.868086047972603,3
2013-04-01,NS,2013,4.831824821652055,4
2013-05-01,NS,2013,4.796733312309589,5
2013-06-01,NS,2013,4.760472085989042,6
2013-07-01,NS,2013,4.725380576646575,7
2013-08-01,NS,2013,4.689119350326028,8
