year,month,city,state_or_province,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,megatonnes CO2,date,Population,Area(km^2),Population Density,GDP per Capita
2011,1,Quebec City,QC,4.1,-27.9,23.7,23.2,2.002779308399717,2011-01-01,516622,485.8,1063.4458624948538,31525.53720124128
2011,1,Raleigh,NC,16.8,-6.2,39.4,24.5,2.2320981260723065,2011-01-01,414071,297,1394.1784511784513,50253
2011,1,Regina,SK,0.2,-31.5,20.5,36.1,1.6999107003102123,2011-01-01,193100,145.5,1327.147766323024,45357.40922473012
2011,1,Richmond,VA,13.6,-7.8,49.400000000000006,25.1,1.3249114246080482,2011-01-01,206487,156,1323.6346153846157,51269
2011,1,Sacramento,CA,19.3,-2.3,47.4,23.7,2.502810420079577,2011-01-01,470788,254,1853.4960629921256,39655
2011,1,Salem,OR,14,-4.1,110.6,25,0.001152173,2011-01-01,204,118,1.728813559322034,32178
2011,1,Salt Lake City,UT,7.2,-16.6,39.7,14.3,1.0522158825392531,2011-01-01,188280,283,665.3003533568905,58218
2011,1,Santa Fe,NM,10.1,-22.4,5.3,22.7,0.5250664058979247,2011-01-01,81726,97,842.5360824742268,44488
2011,1,Springfield,IL,4.8,-23.4,30.200000000000003,27.7,0.6099462969292495,2011-01-01,117794,140,841.3857142857142,34513
2011,1,St. John's,NL,7.6,-7.8,148.5,51.7,0.7117926150916473,2011-01-01,106172,446,238.05381165919283,42049.57734693683
2011,1,St. Paul,MN,-0.3,-28.6,20.8,26.6,1.6771423880868752,2011-01-01,288894,137,2108.715328467153,59493
2011,1,Tallahassee,FL,20.5,-4.6,96.8,21.8,1.0252991089207586,2011-01-01,183025,248,738.0040322580645,36361
2011,1,Topeka,KS,14,-20.1,28.1,37.2,0.8308791188274808,2011-01-01,128242,145,884.4275862068965,39147
2011,1,Toronto,ON,8.3,-20.2,38.5,36.8,11.254158445601531,2011-01-01,2615060,630.2,4149.571564582672,36368.789876101786
2011,1,Trenton,NJ,10.5,-16.2,72.9,26.9,0.5147255028779394,2011-01-01,84861,20,4243.05,68695
2011,1,Victoria,BC,10.9,-1.3,189.8,52,0.3416069037725512,2011-01-01,80017,19.68,4065.9044715447153,34831.276083605306
2011,1,Winnipeg,MB,-4,-35,21.4,30.3,3.196185361771522,2011-01-01,663617,464.1,1429.9008834302952,33506.33834118588
2011,2,Albany,NY,11.8,-20.1,108,30.2,1.2542320281985764,2011-02-01,304722.75,55,5540.413636363636,49071.583333333336
2011,2,Annapolis,MD,17.2,-6.2,70.5,47.7,0.2011652113669047,2011-02-01,38519,17,2265.823529411765,55849.75
2011,2,Atlanta,GA,23.1,-4.1,98.8,33.1,3.036316399634805,2011-02-01,438800.9166666667,346,1268.2107418111757,63743.583333333336
2011,2,Augusta,ME,7.3,-18.9,83.3,29.8,0.1154194342441849,2011-02-01,18985.75,143,132.7674825174825,39543.833333333336
2011,2,Austin,TX,28.3,-7.7,31.7,44.3,5.950297891,2011-02-01,830742.9166666666,790,1051.573312236287,52585.833333333336
2011,2,Baton Rouge,LA,26.9,-4.1,45.8,30.1,2.111704538,2011-02-01,229273.84166666667,199,1152.1298576214406,54451.833333333336
2011,2,Bismarck,ND,6.9,-28.7,20.2,67.6,0.6321581336721811,2011-02-01,62952,70,899.3142857142857,45624.333333333336
2011,2,Boise,ID,15.6,-9.3,9.600000000000001,33.1,1.2636989467880269,2011-02-01,212938.0833333333,165,1290.5338383838382,39322.75
2011,2,Boston,MA,10.7,-15.1,102,37.5,2.921996057439072,2011-02-01,631666.6666666666,232,2722.701149425287,54889.41666666666
2011,2,Carson City,NV,12.5,-10.1,95.4,20.4,0.3522062766982036,2011-02-01,54657.25,371,147.32412398921832,54283.66666666666
2011,2,Charleston,WV,19.7,-8.3,108.3,32.4,0.3111259573623945,2011-02-01,50928.41666666666,82,621.0782520325203,58023
2011,2,Charlottetown,PE,6.6,-14.4,120.2,50.1,0.1729363385058105,2011-02-01,34587.53333333333,44.29,780.9332430194927,27512.58930793892
2011,2,Cheyenne,WY,14.6,-26.1,14.1,50.7,0.8627131788685143,2011-02-01,60286.083333333336,55,1096.1106060606062,51716.5
2011,2,Columbia,SC,27.2,-2.8,84.7,28.8,0.8813014817790003,2011-02-01,131503.5,324,405.875,40940.91666666666
2011,2,Columbus,OH,16.8,-19.1,105.6,37.1,4.231353864473473,2011-02-01,801693.25,545,1470.9967889908255,51584.833333333336
2011,2,Concord,NH,11.3,-16.3,101,30.1,0.2274451893920564,2011-02-01,42576.16666666666,167,254.9471057884231,49223.91666666666
2011,2,Denver,CO,13.8,-28.2,32.1,26.6,3.514677076,2011-02-01,621476.25,397,1565.431360201511,53824.16666666666
2011,2,Des Moines,IA,20.2,-24.3,37.9,43,1.4113197865565583,2011-02-01,208163.66666666663,196,1062.0595238095236,38464.41666666666
2011,2,Dover,DE,19.6,-8.8,62.599999999999994,47.6,0.2156854213661182,2011-02-01,36338.41666666666,58,626.5244252873562,35419.583333333336
2011,2,Edmonton,AB,4,-31.9,21.9,35.7,5.835762091719589,2011-02-01,814206.75,765.61,1063.4745497054637,53568.69541445406
2011,2,Frankfort,KY,18.5,-14.8,129.3,30.2,0.1200830292687661,2011-02-01,16301.333333333334,38,428.9824561403509,42589.91666666666
2011,2,Fredericton,NB,4,-20.9,112.7,28.8,0.3130474437651891,2011-02-01,56265.61666666667,130.7,430.4943891864321,30073.754044112982
2011,2,Halifax,NS,7.3,-12.3,121.6,43,1.9799256687634328,2011-02-01,390541.38333333336,5475.57,71.32433396583978,28792.32223544114
2011,2,Harrisburg,PA,19.5,-15.4,79.7,34.3,0.2487708473670943,2011-02-01,49422.083333333336,21,2353.43254,54619.5
2011,2,Hartford,CT,13.2,-16.4,88.3,31.3,0.5537689655804375,2011-02-01,125420.58333333331,45,2787.1240740740736,52503.333333333336
2011,2,Helena,MT,5.9,-28.7,31.8,25.3,0.2381777384014155,2011-02-01,29348.33333333333,36,815.2314814814813,38324.333333333336
2011,2,Honolulu,HI,26.1,18.6,19.7,34.7,7.818627822,2011-02-01,968408.75,177,5471.235875706215,46319.16666666666
2011,2,Indianapolis,IN,16.4,-19.5,117.8,38.8,5.108507054767348,2011-02-01,827724.675,936,884.3212339743591,57355.333333333336
2011,2,Jackson,MS,26.5,-7.1,50.4,31,1.319204193588038,2011-02-01,175139.91666666666,272,643.8967524509803,38294.75
2011,2,Jefferson City,MO,22.1,-23.6,106.9,29.3,0.283548522,2011-02-01,43347.25,71,610.5246478873239,39934.75
2011,2,Juneau,AK,5.8,-20.6,258.2,26.6,0.6138691062106847,2011-02-01,32183.83333333333,7036,4.574166192912639,58357.25
2011,2,Lansing,MI,12.4,-22,67.3,33.3,0.5821869655962144,2011-02-01,114587,91,1259.1978021978025,34224.916666666664
2011,2,Lincoln,NE,20.2,-22.2,22,39.8,2.0356217747615304,2011-02-01,262997.8333333333,193,1362.6830742659756,49067.16666666666
2011,2,Little Rock,AR,24,-11,96.4,29.5,1.3089358649076273,2011-02-01,195438.25,301,649.2965116,38801.91666666666
2011,2,Madison,WI,10.1,-25.3,52.7,36.5,1.2188304105030974,2011-02-01,237448.5833333333,178,1333.9808052434455,59889.083333333336
2011,2,Montgomery,AL,25.7,-3.5,106.3,27.9,1.3751801239880097,2011-02-01,205120.3333333333,414,495.45974235104666,36218.75
2011,2,Montpelier,VT,9.5,-20.4,95.6,26.5,0.042514099,2011-02-01,7830.833333333333,26,301.1858974358974,43848.083333333336
2011,2,Nashville,TN,21.6,-9.8,110.9,27.4,4.026384508865129,2011-02-01,610779.7083333334,1362,448.44325134605975,50925.66666666666
2011,2,Oklahoma City,OK,26.2,-24.5,66.7,35.7,4.847490716992683,2011-02-01,591875.1666666666,1607,368.3106202032773,44934
2011,2,Olympia,WA,10.9,-8,133.5,28.9,0.2702971220387091,2011-02-01,47752.333333333336,43,1110.5193798449611,36037.833333333336
2011,2,Phoenix,AZ,25.8,-2.3,28.9,36,7.999682433708153,2011-02-01,1472226.6666666667,1341,1097.857320407656,36880.5
2011,2,Pierre,SD,13.4,-27.6,41.199999999999996,48.9,0.1073925110702487,2011-02-01,13868.25,34,407.8897058823529,44568.5
2011,2,Providence,RI,13,-15.2,93.7,34.5,0.7017656624602802,2011-02-01,178358.66666666666,48,3715.805555555555,41768.25
2011,2,Quebec City,QC,5.9,-20.8,81.5,24.5,2.005591134028313,2011-02-01,516876.6666666667,485.8,1063.9700837107175,31541.97511
2011,2,Raleigh,NC,26.5,-5.2,72.60000000000001,33.4,2.228810321083112,2011-02-01,414853.0833333333,297,1396.8117283950617,50266
2011,2,Regina,SK,5.9,-33.6,17.5,38,1.6892875003592636,2011-02-01,193466.76666666663,145.5,1329.668499427262,45362.79423878138
2011,2,Richmond,VA,23,-5.6,51.3,39.3,1.3214812107160978,2011-02-01,206856.5833333333,156,1326.0037393162393,51339.083333333336
2011,2,Sacramento,CA,22.7,-3.1,113.30000000000001,33.5,2.4938198882782183,2011-02-01,471008.1666666667,254,1854.3628608923884,39735.66666666666
2011,2,Salem,OR,12.2,-6.4,104.69999999999999,31.7,0.001146372,2011-02-01,204,118,1.728813559322034,32252.166666666668
2011,2,Salt Lake City,UT,9.9,-17.2,40.4,28.5,1.0573714442423985,2011-02-01,188441.3333333333,283,665.8704358068316,58250.583333333336
2011,2,Santa Fe,NM,14.7,-28.6,8.4,33,0.526368077,2011-02-01,81763.5,97,842.9226804123712,44369.25
2011,2,Springfield,IL,19.3,-22.8,103.4,41,0.6093843315982904,2011-02-01,117806.41666666669,140,841.4744047619049,34475.666666666664
2011,2,St. John's,NL,5.7,-11.1,132.3,61.6,0.7191919956846804,2011-02-01,106216.8,446,238.1542600896861,41885.307762510776
2011,2,St. Paul,MN,8.3,-25.2,25.2,29.9,1.6747333772812163,2011-02-01,289097.25,137,2110.1989051094893,59475.91666666666
2011,2,Tallahassee,FL,25.1,-0.2,64.10000000000001,21.4,1.0242581576055527,2011-02-01,183301.8333333333,248,739.1202956989247,36303.66666666666
2011,2,Topeka,KS,22.5,-26.5,57.800000000000004,38,0.8279977804968985,2011-02-01,128232.08333333331,145,884.3591954022987,39179.833333333336
2011,2,Toronto,ON,7.5,-17.1,63.5,44.3,11.245730917301806,2011-02-01,2617001.85,630.2,4152.652887972072,36383.69675130009
2011,2,Trenton,NJ,20,-13.6,77,37,0.5147022118681724,2011-02-01,84843.75,20,4242.1875,69396.5
2011,2,Victoria,BC,9.5,-3.7,90.9,47.7,0.3402081424107274,2011-02-01,80113.25,19.68,4070.795223577236,34863.773546154494
2011,2,Winnipeg,MB,2.9,-31.6,9.5,34.6,3.1973812114538718,2011-02-01,664333.5833333334,464.1,1431.4449112978525,33554.18937737563
2011,3,Albany,NY,13.4,-16.5,119.8,26.8,1.247874035604566,2011-03-01,304818.5,55,5542.154545454546,49115.16666666666
2011,3,Annapolis,MD,20.6,-3.1,137.6,37,0.2005756032536583,2011-03-01,38521,17,2265.9411764705883,55926.5
2011,3,Atlanta,GA,25.7,0,197.9,33.5,3.0350964803587006,2011-03-01,439738.8333333333,346,1270.9214836223507,63822.16666666666
2011,3,Augusta,ME,14.2,-19.3,116.4,29.5,0.1153215065555293,2011-03-01,18979.5,143,132.7237762237762,39584.66666666666
2011,3,Austin,TX,30.6,2.9,8.8,32.2,5.957050063044834,2011-03-01,832916.8333333334,790,1054.325105485232,52710.66666666666
2011,3,Baton Rouge,LA,28.5,4.4,180.6,29.6,2.113810828988054,2011-03-01,229256.9833333333,199,1152.0451423785594,54464.66666666666
2011,3,Bismarck,ND,5.2,-22.2,40.6,65.8,0.6399140546198359,2011-03-01,63120,70,901.7142857142856,45974.66666666666
2011,3,Boise,ID,18.7,-4,67.1,39.2,1.2596200427144018,2011-03-01,213191.16666666663,165,1292.0676767676766,39302.5
2011,3,Boston,MA,19.1,-11.5,62.4,35.8,2.924744681605668,2011-03-01,632713.3333333334,232,2727.212643678161,55014.833333333336
2011,3,Carson City,NV,18.6,-5.4,164.9,23.9,0.3511021682241604,2011-03-01,54627.5,371,147.24393530997304,54772.333333333336
2011,3,Charleston,WV,24,-4,132.20000000000002,32.2,0.3101058666587071,2011-03-01,50917.833333333336,82,620.949187,57857
2011,3,Charlottetown,PE,9,-13.6,31.5,43.5,0.1746474499781756,2011-03-01,34613.066666666666,44.29,781.5097464,27532.207375512666
2011,3,Cheyenne,WY,18,-9.1,27.3,54.7,0.857531993,2011-03-01,60392.16666666666,55,1098.0393939393937,51579
2011,3,Columbia,SC,28.6,0.6,104.1,32.5,0.8793775350004595,2011-03-01,131544,324,406,40909.833333333336
2011,3,Columbus,OH,20.6,-5.8,139.5,32.9,4.230861031899857,2011-03-01,802709.5,545,1472.8614678899082,51758.66666666666
2011,3,Concord,NH,16.4,-17.6,111.1,31,0.2269645413482794,2011-03-01,42579.333333333336,167,254.96606786427148,49359.833333333336
2011,3,Denver,CO,20.6,-13.7,52.2,27.7,3.510130481337923,2011-03-01,622702.5,397,1568.5201511335013,54106.333333333336
2011,3,Des Moines,IA,21,-10.7,58.7,32.1,1.4125457507326926,2011-03-01,208360.3333333333,196,1063.062925170068,38576.833333333336
2011,3,Dover,DE,22.8,-3.4,109.2,36.6,0.2142159824596735,2011-03-01,36373.833333333336,58,627.1350574712644,35324.166666666664
2011,3,Edmonton,AB,5.3,-29.5,14.6,28.3,5.820683478541317,2011-03-01,816212.5,765.61,1066.0943561343242,53637.96390374932
2011,3,Frankfort,KY,24.9,-2,92.89999999999999,26.9,0.1198749077990694,2011-03-01,16292.666666666666,38,428.7543859649123,42684.833333333336
2011,3,Fredericton,NB,11.5,-19,102.3,28.7,0.3166547419422162,2011-03-01,56307.23333333333,130.7,430.8128028564142,30036.59340129177
2011,3,Halifax,NS,9.2,-13.3,46.3,34,1.9945646722945087,2011-03-01,390754.76666666666,5475.57,71.36330403,28774.34913257092
2011,3,Harrisburg,PA,23.1,-6,125.7,26.9,0.2486171021053995,2011-03-01,49423.16666666666,21,2353.4841269841263,54612
2011,3,Hartford,CT,20.4,-11.3,115.5,26.3,0.552838235,2011-03-01,125407.16666666669,45,2786.825925925926,52600.66666666666
2011,3,Helena,MT,9,-14.4,39.2,25.7,0.2382635339516909,2011-03-01,29376.666666666668,36,816.0185185185186,38496.66666666666
2011,3,Honolulu,HI,25.7,21.2,47.4,48.4,7.832782371,2011-03-01,969307.5,177,5476.313559322034,46371.333333333336
2011,3,Indianapolis,IN,22.6,-5.1,86.8,30.1,5.103496807,2011-03-01,828284.65,936,884.9194978632479,57309.66666666666
2011,3,Jackson,MS,26.8,1.9,141.7,29,1.3152638177757634,2011-03-01,175113.83333333334,272,643.8008578431372,38378.5
2011,3,Jefferson City,MO,26.1,-3.1,82.4,27.3,0.2828882726231392,2011-03-01,43340.5,71,610.4295774647887,39918.5
2011,3,Juneau,AK,6.7,-17.7,89.6,18.8,0.6114546948662932,2011-03-01,32202.666666666668,7036,4.576842903164677,58562.5
2011,3,Lansing,MI,18.6,-17.9,72.8,28.7,0.581235083,2011-03-01,114597,91,1259.3076923076924,34261.833333333336
2011,3,Lincoln,NE,25.2,-9.8,20.5,38,2.029978148,2011-03-01,263264.6666666667,193,1364.0656303972366,49197.333333333336
2011,3,Little Rock,AR,27,1.3,68.1,24.8,1.3078196983943222,2011-03-01,195547.5,301,649.6594684385382,38964.833333333336
2011,3,Madison,WI,16,-12.9,67.3,28.5,1.2166329805883926,2011-03-01,237699.16666666663,178,1335.388576779026,59890.16666666666
2011,3,Montgomery,AL,27.4,1.6,125,26.9,1.3739910070783432,2011-03-01,205017.66666666663,414,495.2117552334943,36232.5
2011,3,Montpelier,VT,11,-20.4,121.6,26.2,0.042401355,2011-03-01,7826.666666666667,26,301.02564102564105,43940.16666666666
2011,3,Nashville,TN,25.5,0,115.1,27.7,4.025332451947032,2011-03-01,611514.9166666666,1362,448.9830518844836,51158.333333333336
2011,3,Oklahoma City,OK,29.4,-1.1,27,41.4,4.840272354578359,2011-03-01,592708.3333333334,1607,368.82908110350553,44994
2011,3,Olympia,WA,15.1,-2.7,264.9,28.5,0.2707740674363006,2011-03-01,47785.66666666666,43,1111.2945736434106,35995.666666666664
2011,3,Phoenix,AZ,34.1,2.8,15,32.4,7.999342301,2011-03-01,1474683.3333333333,1341,1099.6892866020382,36994
2011,3,Pierre,SD,16,-21.7,22.8,53.2,0.1072598947970381,2011-03-01,13871.5,34,407.9852941176471,44607
